GEO_ID,NAME,S2201_C03_001E
37001,"Alamance County, North Carolina",8480
37003,"Alexander County, North Carolina",995
37005,"Alleghany County, North Carolina",601
37007,"Anson County, North Carolina",2076
37009,"Ashe County, North Carolina",1345
37011,"Avery County, North Carolina",579
37013,"Beaufort County, North Carolina",2659
37015,"Bertie County, North Carolina",1828
37017,"Bladen County, North Carolina",3387
37019,"Brunswick County, North Carolina",5619
37021,"Buncombe County, North Carolina",8056
37023,"Burke County, North Carolina",4802
37025,"Cabarrus County, North Carolina",6235
37027,"Caldwell County, North Carolina",3987
37029,"Camden County, North Carolina",307
37031,"Carteret County, North Carolina",2789
37033,"Caswell County, North Carolina",1500
37035,"Catawba County, North Carolina",7599
37037,"Chatham County, North Carolina",1999
37039,"Cherokee County, North Carolina",1358
37041,"Chowan County, North Carolina",1451
37043,"Clay County, North Carolina",548
37045,"Cleveland County, North Carolina",6315
37047,"Columbus County, North Carolina",4759
37049,"Craven County, North Carolina",5534
37051,"Cumberland County, North Carolina",22008
37053,"Currituck County, North Carolina",676
37055,"Dare County, North Carolina",805
37057,"Davidson County, North Carolina",8984
37059,"Davie County, North Carolina",1639
37061,"Duplin County, North Carolina",3282
37063,"Durham County, North Carolina",13343
37065,"Edgecombe County, North Carolina",4770
37067,"Forsyth County, North Carolina",18361
37069,"Franklin County, North Carolina",3959
37071,"Gaston County, North Carolina",13199
37073,"Gates County, North Carolina",500
37075,"Graham County, North Carolina",435
37077,"Granville County, North Carolina",2541
37079,"Greene County, North Carolina",1499
37081,"Guilford County, North Carolina",28504
37083,"Halifax County, North Carolina",5811
37085,"Harnett County, North Carolina",6016
37087,"Haywood County, North Carolina",3026
37089,"Henderson County, North Carolina",3761
37091,"Hertford County, North Carolina",2227
37093,"Hoke County, North Carolina",2969
37095,"Hyde County, North Carolina",487
37097,"Iredell County, North Carolina",5136
37099,"Jackson County, North Carolina",1522
37101,"Johnston County, North Carolina",9915
37103,"Jones County, North Carolina",835
37105,"Lee County, North Carolina",3521
37107,"Lenoir County, North Carolina",5678
37109,"Lincoln County, North Carolina",3593
37111,"McDowell County, North Carolina",2888
37113,"Macon County, North Carolina",1680
37115,"Madison County, North Carolina",1081
37117,"Martin County, North Carolina",1722
37119,"Mecklenburg County, North Carolina",36920
37121,"Mitchell County, North Carolina",698
37123,"Montgomery County, North Carolina",1295
37125,"Moore County, North Carolina",2830
37127,"Nash County, North Carolina",5996
37129,"New Hanover County, North Carolina",8361
37131,"Northampton County, North Carolina",1755
37133,"Onslow County, North Carolina",8976
37135,"Orange County, North Carolina",3247
37137,"Pamlico County, North Carolina",524
37139,"Pasquotank County, North Carolina",2515
37141,"Pender County, North Carolina",2643
37143,"Perquimans County, North Carolina",821
37145,"Person County, North Carolina",3005
37147,"Pitt County, North Carolina",10234
37149,"Polk County, North Carolina",643
37151,"Randolph County, North Carolina",8644
37153,"Richmond County, North Carolina",4337
37155,"Robeson County, North Carolina",12411
37157,"Rockingham County, North Carolina",6261
37159,"Rowan County, North Carolina",8458
37161,"Rutherford County, North Carolina",4629
37163,"Sampson County, North Carolina",3716
37165,"Scotland County, North Carolina",3457
37167,"Stanly County, North Carolina",3191
37169,"Stokes County, North Carolina",2454
37171,"Surry County, North Carolina",4616
37173,"Swain County, North Carolina",702
37175,"Transylvania County, North Carolina",1543
37177,"Tyrrell County, North Carolina",346
37179,"Union County, North Carolina",5530
37181,"Vance County, North Carolina",3733
37183,"Wake County, North Carolina",25190
37185,"Warren County, North Carolina",1719
37187,"Washington County, North Carolina",1360
37189,"Watauga County, North Carolina",1338
37191,"Wayne County, North Carolina",8392
37193,"Wilkes County, North Carolina",3968
37195,"Wilson County, North Carolina",6116
37197,"Yadkin County, North Carolina",1734
37199,"Yancey County, North Carolina",887
